reference,LAPTOP_MODEL,description,PRICE,created_at,city,spec_Carte graphique,LAPTOP_CONDITION,LAPTOP_BRAND,CPU,RAM_SIZE,spec_Reférence carte graphique dédiée,spec_Reférence carte graphique integrée,STORAGE_SIZE,SCREEN_SIZE,STORAGE_TYPE,RAM_GB,SSD_GB,HDD_GB
UX325EA,Asus ZenBook 13 UX325 i7 1165G7 /16GB DDR4 /1To SSD ,"Asus ZenBook 13 très bonne état venu de France avec les caractéristiques suivantes 

CPU Intel core i7 11ème génération 
Ram 16 GB ddr4 
Disque dur 1to ssd 
Écran 13,3’´ FHD iPS 
Autonomie de la batterie jusqu’à 18h 
Très léger avec garantie 3mois
",95000.0,2024-08-29T13:53:30.000Z,Zeralda,Intégrée,Etat neuf,INTEL,Intel core i7 1165G7,16 GO,,Intel iris Xe graphics,1000GO,13.0,SSD,16,1000,0
,"LAPTOP HP ELITEBOOK 830 G9 I5-1235U 16GB RAM 256GB SSD ECRAN 13.3"" FHD","LAPTOP HP ELITEBOOK 830 G9 

I5-1235U 

16GB RAM 256GB SSD 

ECRAN 13.3"" FHD

Etat 10/10   

 **Prix** : 96000da   

 Livraison à domicile disponible 58 wilaya Paiement à la Livraison",89000.0,2025-07-31T09:53:36.000Z,Bab ezzouar,Intégrée,Etat neuf,HP,I5-1235U,16 GO,,,256GO,13.0,SSD,16,256,0
,Lenovo ThinPad L14 Gen 2 ,"Lenovo ThinPad L14 Gen 2 en 
Processeur Intel core i5 11th gen
Ram 16G ddr4
Stockage 512 ssd
Carte Graphique Intel Iris Xe integrated Graphics
Clavier QWERTY Rétro-éclairer
Écran 14"" HD
Système d'exploitation Win 11pro (activé)
----
Magasin : GSM Store
Num : 0️⃣7️⃣9️⃣3️⃣6️⃣8️⃣4️⃣0️⃣1️⃣7️⃣
STORE Ouedkniss : GSM store
insta : @gsm_store_oran
Adresse : Oran bir el djir millénium cité CNL (3nd dernier feu rouge) 
Localisation Sur Google maps:
GSM STORE ORAN 
Ou cliquez sur :
",69000.0,2025-08-11T00:13:56.000Z,Bir el djir,,Etat neuf,,,,,,,15.6,,0,0,0
G3 15 ,Dell G3 15 PC Portable Gaming 10eme Génération GTX 1650,"Dell G3 15 – PC Portable Gaming 10ᵉ Génération | GTX 1650 | État 8/10
🔥 Spécifications Techniques

    Marque & Modèle : Dell G3 15 (Série Gaming)

    Processeur : Intel® Core™ i5-10300H (10ᵉ Gén, 4 cœurs / 8 threads, Boost jusqu'à 4.50 GHz)

    Mémoire RAM : 8 Go DDR4 (Upgradable jusqu'à 32 Go)

    Stockage : 256 Go SSD NVMe (Rapide pour le système + 1-2 jeux)

    Écran : 15.6"" Full HD (1920x1080) – Anti-reflets, 60Hz (Idéal pour gaming casual)

    Cartes Graphiques :

        Intel UHD Graphics 630 (Bureautique / Multimédia)

        NVIDIA GeForce GTX 1650 4 Go GDDR6 (Gaming 1080p : Fortnite, GTA V, Valorant en Moyen/Élevé)

    Connectivité :

        1x USB-C | 3x USB 3.2 | HDMI 2.0 | RJ45 (Ethernet)

        Wi-Fi 5 | Bluetooth 5.0 | Webcam HD

    Clavier : Rétroéclairé (Blanc) – Touches dédiées gaming

    Audio : 2x Haut-parleurs Nahimic 3D (Son immersif)

    Système : Windows 10/11 Pro (Clean install possible)",109000.0,2025-08-06T08:31:05.000Z,Dar el beida,Dédiée,Bon état,INTEL,i5-10300H,8 GO,Nvidia GTX 1650,,256GO,15.6,SSD,8,256,0
,Macbook air m2 ,"Macbook air M2 16/256 
Prix:215000
Ram:16
Disque dur 256 gb
Ècran:13,6""
Clavier:Qwerty

",215000.0,2025-08-10T15:24:29.000Z,Alger centre,,Neuf jamais utilisé,APPLE,,16 GO,,,256GO,13.0,SSD,16,256,0
,Asus Tuf gaming A15/RTX 3050 4gb/ryzen7 7435HS/16gb ram DDR5/512gb ssd,Asus tuf A15 neuf jamais utilisé ,160000.0,2025-07-29T09:43:18.000Z,Cheraga,Dédiée,Neuf jamais utilisé,ASUS TUF,Ryzen7 7435HS,16 GO,,Nvidia 3050,512GO,15.6,SSD,16,512,0
,MacBook Pro M1 Pro 16 inch,"Venu des États Unis très peu servi un MacBook Pro avec processeur M1 Pro écran 16 pouces 512 gb Disque et 16 Go Ram , cycle batterie : 78",199000.0,2025-07-29T19:23:20.000Z,Alger centre,,Etat neuf,,M1 Pro,16 GO,,,512GO,16.0,SSD,16,512,0
5M8-00022,MICROSOFT SURFACE LAPTOP 4 RYZEN 5 4680U 8/128 GB,"Spécifications clés
Taille de l'écran
13,5 pouces
Résolution d'écran
2256 x 1504
Écran tactile
Oui
Modèle de processeur
AMD Ryzen 5 Édition Microsoft Surface
Numéro de modèle du processeur
4680U
Type de stockage
SSD
Capacité totale de stockage
128 gigaoctets
Capacité du disque SSD
128 gigaoctets
Mémoire système (RAM)
8 gigaoctets
Graphique
AMD Radeon Véga 9
Système opérateur
Windows 11 Famille
Autonomie de la batterie (jusqu'à)
19 heures
Type de batterie
Lithium-ion
Conception 2 en 1
Non
Clavier rétro-éclairé
Oui
Général
Nom du produit
Surface Laptop 4 - Écran tactile 13,5 pouces - AMD Ryzen 5 Surface Edition - Mémoire 8 Go - SSD 128 Go (dernier modèle)
Marque
Microsoft
Matériau du boîtier
Aluminium
Numéro de modèle
5M8-00001/5M8-00022
Année de sortie
2021
Couleur
Platine
Catégorie de couleur
Argent
",149900.0,2022-07-23T12:33:37.000Z,Hussein dey,,Neuf jamais utilisé,MICROSOFT,,8 GO,,,128GO,13.5,SSD,8,128,0
MacBook Pro A3112,"(VENDU) APPLE MacBook Pro A3112 M4 16G 512G 14,2""INCH 10C CPU 10C GPU CYCLE:8","💻 MacBook Pro A3112 (2024) Space Black 💻

🔹 CPU : Apple M4, 10 cœurs (4 cœurs de performance, 6 cœurs d'efficacité)
🔹 RAM : 16 Go LPDDR5, soudée à 6400 MHz
🔹 STOCKAGE : SSD 512 Go NVMe PCIe 4.0
🔹 GPU : GPU intégré 10 cœurs
🔹 ÉCRAN : Retina XDR 14,2"" (36,07 cm), 3024 x 1964, technologie Mini-LED, ProMotion 60 Hz, 1600 nits de luminosité maximale

🔹 WLAN : Wi-Fi 6E (802.11ax)
🔹 Bluetooth : Version 5.3
🔹 ETAT DE BATTERIE : 100%
🔹 CYCLE : 8
🔹 CLAVIER : QWERTY Rétroéclairé avec Touch ID

🔹 Ports d'E/S :
3 ports Thunderbolt 4 (USB-C)
1 port HDMI
1 port MagSafe 3
1 lecteur de carte SDXC
1 prise combinée casque/microphone

🔹 DIMENSIONS : 31,26 cm (L) x 22,12 cm (P) x 1,55 cm (H)
🔹 POIDS : 1,6 kg
-------------------------------------------------------------------------------------------------------------------------------------------------------
🔴MOBILE 📱 COMMERCIAL : 
🔴POSSIBILITE DE FACTURATION
🔴LIVRAISON DISPONIBLE SUR 58 WILAYAS
🔴PAIMENT A LA LIVRAISON",329000.0,2025-07-25T14:45:35.000Z,Kouba,Intégrée,Etat neuf,APPLE,"Apple M4, 10 cœurs (4 cœurs de performance, 6 cœurs d'efficacité)",16 GO,,GPU intégré 10 cœurs,512GO,14.0,SSD,16,512,0
Hp probook ,Hp probook i5 vpro 8th 5h 8Gb/16Gb ssd garantie une année مع ضمان سنة كاملة حالة جديدة+كرطابل,"👩‍💻hp probook 👩‍💻 
✨ ضمان سنة كاملة ✨
 

🔘 CPU :  intel i5 vpro 8350    
🔘 Batterie 5h 🤩
🔘 Ram: 8Gb  / 16Gb  / 32Gb ✅
🔘Disque dur :  128Gb / 256Go / 512Go /1To SSD 
🔘carte graphique  : Intel graphique
🔘Ecran : 15,6"" pouce FHD 
🔘lecture CD 
🔘USB 
🔘Bleutooth/ Wi-Fi/ Webcam
🔘Port  , HDMi 
🔘Windows  11 pro
🔘Avec Chargeur  🔌🔌

للاستفسار و طلب 

 
او ارسل في فايبر او واتساب 

👈للمزيد من المعلومات يرجى الاتصال:
للتجزئة: 
للجملة:  📞

📦التوصيل إلى كافة الولايات(58) 🚚 والدفع عند الاستلام 🤝
📍العنوان: بجانب محطة المسافرين البليدة ",56000.0,2025-06-21T11:11:13.000Z,Blida,Intégrée,Etat neuf,,,8 GO,,,,15.0,SSD,8,0,0
VIVOBOOK X1405V,"ASUS VivoBook X1405V i9 13900H 16GB 1TB 14"" AZERTY Neuf Sous Emballage",,175000.0,2025-08-10T08:01:21.000Z,Bab ezzouar,Intégrée,Neuf jamais utilisé,ASUS,Intel Core i9-13900H @ up to 5.40 GHz,16 GO,,Intel Iris Xe Graphique,1000GO,14.0,SSD,16,1000,0
LENOVO ThinkPad E15 ,"LENOVO ThinkPad E15 I7 11th 16 GB 512 GB SSD FHD 15""","• Disponible Chez #Tretec_informatique ""Magasin de Service, Vente et Dépannage de matériel informatique"" - Bab Ezzouar -
—————————————————————————
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**

- Fournir Avec Chargeur Original
- Livraison à domicile
- Garantie 2 mois + Service après vente
—————————————————————————
Produit : Ordinateur Portable
Marque : Lenovo
Modèle : ThinkPad E15


Caractéristiques :

• Processeur: Intel® Core™ i7-1165G7 ""11th Generation "" 8 Max Turbo Frequency 4.90 GHz ·
• Memoire vive : 16 GB
• Disque Dur : 512 GB SSD
• Ecran : 15.6"" Full HD (1920 x 1080)
• Carte Graphique integrée : Intel UHD Graphics
• Lecteur Empriente Digitale
•CLAVIER LUMINEUX 
•FACE ID ‘’RECONAISSANCE FACIALE
• Interface : Type-C / 2 x USB 3.0 / HDMI /
• WIFI/ BLUETOOTH/ WEB CAM
• System d'exploitation : Windows Original


Prix: 92 000.00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
---------------------------------------------
• Contact : 0559425599

• Email : contact@tretec-dz.com

• Page Facebook : www.facebook.com/tretec.dz

• SITE Web : www.tretec-dz.com

• https://goo.gl/maps/qPRv6NosWeD2",92000.0,2025-03-26T11:10:22.000Z,Bab ezzouar,Intégrée,Bon état,LENOVO,I7 1165G7,16 GO,,INTEL IRIS XE GRAPHICS,512GO,15.0,SSD,16,512,0
HP ELITEBOOK 830 G7,"HP ELITEBOOK 830 G7 i5 10310U 16Go Ram 256Go SSD 14"" FHD Intel UHD Graphics","Chez BS informatique
🎉🎉🥳🥳 SUPER PROMO 🥳🥳🎉🎉
💻 HP ELITEBOOK 830 G7  💻

Utilisé État Comme Neuf

✅Processeur: Intel i5 10310U
✅Mémoire vive: 16GB DDR4  2666MHz
✅Disque Dur: 256Go SSD
✅Ecran: 13"" FHD 
✅Carte Graphique: Intel UHD Graphics 
✅WINDOWS 11
✅Clavier QWERTY 
✅Wifi | Bluetooth |WebCam 🔥🔥 PRIX : 77 000 DA 🔥🔥
-----------------------------------------------------------
Garantie 04 mois
Livraison 58 WILAYA
Jusqu à 04 Mois De Garantie.
Payement à la collecte.
CCP/ acceptée. Chèque virement
Facturation Possible Pour Les Entreprises.
E-Mail: bs.informatique16@gmail.com
Telephone,Whatsapp:/ 0770 22-74-73/05 57-59-97-85
Localisation sur Google maps (BS INFORMATIQUE) a côté Station météo gué de Constantine🚄🚄🚄
MOBILE 📱 COMMERCIAL :0770227473
MOBILE 📱 COMMERCIAL :0557599785
TÉLÉPHONE ☎️ FAX :023935283
INSTAGRAM : @bs_informatique
Lmaps
🕹️🕹️🕹️🕹️🕹️ BS INFORMATIQUE🕹️🕹️🕹️🕹️🕹️
Adresse a côté de la station métro de Gue
Constantine WILAYA d'Alger
#followmefollowyou
#hp #gaming #nvidia #rog #fps #design #3D #architecture #pubg #csgo #fortnite #laptop #ordinateur #ssd #windows #hightech #kouba #alger #algeria #algiers #dz",77000.0,2025-01-14T07:15:33.000Z,Ain naadja,Intégrée,Etat neuf,HP,Intel i5 10310U,16 GO,,Intel UHD Graphics,256GO,13.0,SSD,16,256,0
AIR 15,MACBOOK AIR M2 15.4 POUCE 16G RAM DRR4 1T SSD ,"MACBOOK AIR 2023  15 POUCE 16G RTAM 1T STORAGE 
8C CPU 10C GPU ",380000.0,2024-09-19T10:03:05.000Z,Bab ezzouar,,Neuf jamais utilisé,,,16 GO,,,1000GO,15.0,SSD,16,1000,0
i7 11 g,Lenovo ,"للبيع: حاسوب محمول Lenovo بمعالج Intel Core i7 الجيل 11 – شاشة لمس

🔹 المعالج: Intel® Core™ i7-1165G7 (الجيل 11)
🔹 الذاكرة (RAM): 16GB DDR4 بسرعة 3200MHz
🔹 التخزين: 1TB SSD PCIe (سريع جدًا)
🔹 الشاشة: 15.6 بوصة Full HD تعمل باللمس
🔹 كرت الشاشة: Intel® Iris® Xe Graphics
🔹 الاتصال: Wi-Fi 802.11 AC + Bluetooth 5.1
🔹 الكاميرا: 720p مع غالق خصوصية
🔹 المنافذ:
✔ 1x USB-C 3.2 Gen2
✔ 2x USB 3.1 Gen1 Type-A (واحد يدعم الشحن)
✔ 1x HDMI 1.4b
✔ 1x قارئ بطاقات 4 في 1
✔ منفذ سماعات 3.5mm
✔ منفذ شحن DC

",120000.0,2025-03-25T16:44:50.000Z,Bordj bou arreridj,,Bon état,,,,,,,15.6,,0,0,0
,HP ELITEBOOK 840 G7 i5-10310U 16GB 256GB SSD,"💻HP ELITEBOOK 840 G7💻

✔️Cpu : Processeur Intel Core i5-10310U 4,4GHz
✔️Ram : 16GB DDR4 2667MHz
✔️CARTE graphique : ITEL UHD GRAPHICS
✔️Storage: 256GB SSD NVMe
✔️ECRAN: Ecran 14,1” FHD
✔️ETAT : 9,75/10

💸PRIX : 70 000Da💸

📦Livraison à domicile disponible 58 wilaya 📦
💪 Paiement à la Livraison
Localisation: bab ezzouar enface USTHB
☎️0552665100☎️
📌 Instagram: : V2tech.off
📌 Facebook : V2 Tech
📌 Maps 📍: V2 Tech
Soyez les bienvenus ⚡️",70000.0,2024-09-10T09:29:52.000Z,Bab ezzouar,Intégrée,Etat neuf,,,16 GO,,,256GO,14.0,SSD,16,256,0
Vostro 3510 ,"DELL Vostro 3510 i5-11éme  8GB 512GB 15,6"" ","*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***

Pour plus d'informations veuillez nous contacter
Livraisons 58 Wilayas et le paiement a la livraison main a main
Possibilité de Facturations
Horaires de Travail : du Samedi au Jeudi , de 09H A 18H30

Facebook & Instagram : Mido Camera
Google Maps GPS : Mido Camera

Le magasin Mido Camera met a votre disposition la fourniture de toutes Matériel & équipements audiovisuel & informatique en Algérie
Pour vous accompagner dans vos projets d'investissements, et quelque soit le cadre de financement ( ANGEM , CNAC, ANSEJ, Crédit bancaire,..) notre magasin met à votre dispositions une large gamme de matériel et d'équipements de Production avec pièces de rechange disponible et un service après vente de qualité.",93000.0,2024-08-26T12:05:40.000Z,Bab ezzouar,Intégrée,Etat neuf,DELL,"Intel Core i5-1135G7 @ 2,4 Ghz",8 GO,,Intel(R) Iris(R) Xe Graphics,512GO,15.0,SSD,8,512,0
E5511,Fujitsu Lifebook E5511 i5 11th 16GB 512SSD 15.6FHD,"—————————————————————————
- Fournir Avec Chargeur Original
- Livraison à domicile
- Garantie 03 mois + Service après vente
—————————————————————————

Produit : Ordinateur Portable
Marque : Fujitsu
Modèle : Lifebook E5511

Configuration :

• Processeur: Intel® Core™ i5-1135G7 ""11th Generation
• Stockage : 512GB SSD
• Mémoire : 16Go DDR4 3200Hz
• Ecran 15.6"" FHD
• Carte Graphique intégrée intel HD Graphics 620
• Interfaces : 3 x USB 3.0 / HDMI /Type-C / RJ45
• Wi-Fi + Bluetooth + webcam
• System d'exploitation: Windows 11 Pro 64 bits Original

",75000.0,2025-06-12T08:10:13.000Z,Zeralda,Intégrée,Etat neuf,INTEL,Intel core i5 1135G7,16 GO,,Intel iris Xe Graphique,512GO,15.0,SSD,16,512,0
Dell,PC portables ,Dell i5 - 4 go Ram - 500 disc dur - caba tres bon etat comme neuf,30000.0,2024-09-28T20:12:09.000Z,Bab ezzouar,,Bon état,DELL,,4 GO,,,,15.0,,4,0,0
INTEL I7-13700H 5.5ghz,LENOVO LEGION 5 SLIM/I7-13700H 5.5ghz/16 gb ddr5/512 SSD/ NVIDIA RTX 4060 8GB/16.1  pouce 2k 165HZ  ,"#لسنا_الوحيدين_لكننا_الافضل 😍
🔴لاقوى في العالم نعم légion 5احدى اعظم انتاجات الحواسيب التي لم يسبق لها نظير الحاسوب الوحيد الذي اجبر المنتقيدين على مدحه ولاستسلام لقوته الجبارة
مهما كنت صعب الارضاء في عالم الحواسيب تاكد انه سيعجبك 😍
🛑 LENOVO LEGION 5 SLIM 😍
Jamais utilise sous emballage 
غير مستعمل في العلبة 
 🔴 INTEL I7-13700H 5.5ghz
 🔴 ram 16 gb ddr5  4800 hz
 🔴disk 512 gb ssd nvum GEN4
 🔴 carte graphique
 ⏩ intel iris xe graphique 4gb
⏩ invidia geforce RTX 4060 8GB UP 32gb
 🔴ecran 16.1  pouce 2k 165HZ   😍😍😍
 🔴 clavier  lumineux
 🔴 chargeur original 
 🔴 windows 11 original 
💖PRIX 285000da
  Livraison 58 wilaya
 
 البيع في المحل 
  Microsoft pro dz  babzouar
🔴 Adresse du Magasin 🏪 : Bab Ezzouar enface USTHB
Microsoft pro
, Bab Ezzouar


رابط صفحتنا على الأنستغرام 
/...
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS",280000.0,2025-02-01T12:30:02.000Z,Bab ezzouar,Integrée + Dédiée,Neuf jamais utilisé,NOVO LEGION 5 SLIM,INTEL I7-13700H 5.5ghz,16 GO,invidia geforce RTX 4060 8GB UP 32gb,intel iris xe graphique 4gb,512GO,16.0,SSD,16,512,0
I3300K,ASUS,"
📢 À vendre : ASUS VivoBook 13 Slate OLED – État comme neuf

💻 Modèle : i3300K
⚙️ Caractéristiques :

Processeur : Intel Pentium Silver N6000

RAM : 4 Go

Stockage : 128 Go eMMC

Écran : OLED tactile 13.3″ Full HD – couleurs vives, noirs profonds

Système : Windows 11

Autonomie : jusqu’à 8 heures


🎁 Accessoires inclus :

✅ Chargeur rapide Samsung USB-C (original)

✅ Stylo tactile Google Pen 2.0

 État : Très peu utilisé – comme neuf
 Idéal pour : étudiant(e), télétravail, navigation web, streaming, prise de notes

📦 Prix : 78.000 DA
📍 Disponible à : Birtouta
🚚 Livraison disponible  58 wilayas et gratuite sur Alger

✅ Test sur place possible
",7800.0,2025-06-18T18:17:28.000Z,Birtouta,Intégrée,Etat neuf,,,4 GO,,,128GO,13.3,SSD,4,128,0
,Hp i5 6eme 8G 256 ssd ,0772415710,44000.0,2025-01-31T18:46:01.000Z,Setif,,Bon état,,,8 GO,,,256GO,14.1,SSD,8,256,0
Vostro 15 3510,"Dell VOSTRO 15 3510 I5 1135G7 8GB 256 SSD FULL HD 15.6"" ","💻 Dell VOSTRO 15 3510 I5 1135G7 8GB 256 SSD FULL HD 15.6"" 💻

💠 Processeur : Intel® Core™ I5-1135G7  CPU UP  4.2 GHZ 11 Génération
💠 Mémoire vive : 8 GB DDR4
💠 Disque Dur : 256 SSD
💠 Ecran : 15.6"" Pouce  FHD 1920X1080
💠 Graphique Intégrée : Intel iris xe GRAPHIQUE 
💠 Interface : 3 USB | HDMI  | RG45 
💠 Clavier AZERTY
💠 Wifi | Bluetooth | WebCam
💠 Batterie EXELENTE | chargeur original
💠 System d'exploitation : Windows 11 Pro original 

💰 Prix : 75000 da 🔥🔥
-----------------------------------------------------
Pour plus d'info contactez moi 
📲Tel  :  /  
Bienvenue
Site Web :
 FACEBOOk: 
INSTAGRAM : /
Possibilité de facturation 
💵Paiement à la livraison",75000.0,2025-08-06T07:34:50.000Z,Bab ezzouar,Intégrée,Etat neuf,DELL,Intel® Core™ I5-1135G7  CPU UP  4.2 GHZ 11 Génération,8 GO,,Intel iris xe GRAPHIQUE,256GO,15.6,SSD,8,256,0
,Hp elitebook x360 1030 G3 i7 16G 512G,"
lien de l'adresse de magasin GCB sur google maps: 

https://goo.gl/maps/fAicNHV14i42 


",146000.0,2019-08-24T09:41:18.000Z,Bab ezzouar,,Bon état,HP,Intel Core i7-8650U @ 1.90GHz,16 GO,,,512GO,13.0,SSD,16,512,0
,Thinkpad T480s TACTILE i5-8ième | 16Go RAM | 256 SSD | Batterie +4h,Thinkpad T480s TACTILE i5-8ième | 16Go RAM | 256 SSD | Batterie +4h,55000.0,2025-01-18T11:02:58.000Z,Draria,,Etat neuf,LENOVO THINKPAD T480S,i5 8ième,16 GO,,,250GO,14.0,SSD,16,250,0
,HONOR MAGICBOOK 15 BMH-WDQ9HN AMD RYZEN 5 5500U 8GO 512GO SSD NEUF SOUS EMBALLAGE ,"HONOR
MAGICBOOK 15
BMH-WDQ9HN
ALUMINIUM BLEU
2023
NEUF SOUS EMBALLAGE
CPU AMD RYZEN 5 5500U 2.1GHZ
BOOST 4.0GHZ 6CORES 12 THREADS
8MO CACHE
RAM 8GO DDR4X 3200MHZ
DISQUE 512GO SSD NVME
WIFI/BLUETOOTH/WEB CAM
USB 3.1
AMD RADEON GRAPHIC
ECRAN 15.6"" FULL HD 1080P LED
ANTIREFLET
WINDOWS 11 ORIGINALE
PRIX : 96000da

- - - - - - - - - - - - - - - - - - -
MOBILE 📱 COMMERCIAL RABAH : 0551.67.46.36
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS
GARANTIE DE 6 MOIS + SERVICE APRES VENTE
#PROTECHASSIBA THE BEST LAPTOPS
E-MAIL:ORANGEHASSIBA7@GMAIL.COM
SITE WEB : WWW.ORANGEHASSIBA.COM

#neverstopexploring #fyp #foryourprofil #viral #algérienne #جزائريات #pcgames #pcgamer cgamer #pc #informatique #computer #technology chnology #dzair #dz #laptopgaming #laptop #tech #dzpower🇩🇿 #شوشع_العالمية🇩🇿 #الشعب_الصيني_ماله_حل😂😂 #fypシ @大好物は高カロリー🐷୭*ﾟ #tik_tokd",96000.0,2025-06-23T20:28:23.000Z,Alger centre,,Neuf jamais utilisé,,,,,,,15.6,,0,0,0
DELL LATITUDE 5400 ,"DELL LATITUDE 5400 I5 8th 8 GB 256 GB SSD FHD 14"" ","💻DELL LATITUDE 5400 💻
• Processeur : INTEL CORE I5-8365U
• RAM : 8GB
• Stockage : 256GB SSD
• Écran : 14""FHD(1920X1080)
• Carte graphique intégrée: INTEL UHD ®GRAPHICS
• Système d'exploitation : WINDOWS

Prix: 54 000 DA❌ Prix: 45000 DA✅


•• Possibilité de facturation pour les entreprises ••


®️ Garantie deux mois
💰 Paiement a la livraison
📦 Livraison 58 Wilaya",45000.0,2025-04-09T14:05:19.000Z,Bab ezzouar,Intégrée,Bon état,DELL,I5 8365U,8 GO,,INTEL IRIS XE GRAPHICS,256GO,14.0,SSD,8,256,0
Cq67,Compaq,Avec sa boite,31000.0,2025-01-26T15:39:13.000Z,Mchedallah,Intégrée,Bon état,,1.5,4 GO,,Intel,320GO,15.6,HDD,4,0,320
,Micro portable hp,,30000.0,2021-09-03T16:36:41.000Z,Beni messous,,Neuf jamais utilisé,HP,Intel Pentium P6200 @ 2.13GHz,4 GO,,,,15.6,,4,0,0
AIR 2020 M1,"MACBOOK AIR 2020_13"" M1cpu","MacBook Air 2020 M1

• Caractéristiques:
- Processeur : M1 chip
- Ram : 8GB
- Stockage : 256GB
- Écran : 13,3” 2K
- Interface : 2Type C 3.1
- l’empreinte digital
- BLUETOOTH 5.2
- WIFI 6.0
- CLAVIER LUMINEUX
- CYCLES 232///92% 





Système macOS Ventura

Prix : 110000

• Remarque :
🧾 Facturation Possible Pour Les Entreprises.

• Contact :
📧 E-mail :  
☎ Tel/WhatsApp : 

🟣 WafeerTech Votre partenaire informatique pour un avenir",128000.0,2024-12-10T13:22:00.000Z,Kouba,Intégrée,Bon état,APPLE,M1,8 GO,,,256GO,13.0,SSD,8,256,0
,Dell latitude 3520,"السلام عليكم ورحمة الله وبركاته
حاسوب شبه جديد مستعمل مدة قصيرة في حالة جيدة مع مواصفات جد ممتازة صالح لجميع الفئات  وبأفضل سعر في السوق مرحباً بكم 🥰
Prix : 69900 da
بضاعة اوروبية اصلية 💯🥰
Dell latitude 3520
Core i5-11éme génération  🔥
Venu de France(AZERTY)
_________________
🌀Dell latitude 3520 😍
🌀CPU = CPU Intel Core i5-1165G7 
(4Cores 8Threads  ( 2.8 - 4.7GHz, 12MB)
🌀Ram 8 DDR4 💪
🌀Disque dur 256 SSD M.2❤️⁩💯
🌀GPU = intel(R) Iris Xe Graphics 
🌀Écran 15.6"" pouces full HD ips (Rotation 180°) 
🌀État 10/10💯
🌀Port hdmi ✅
🌀Clavier luminosité
🌀Lecteur carte mémoire ✅
🌀3x USB 3.0 ✅
🌀Type C
🌀Avec chargeur   💪
🌀Batterie : très bonne état +4h
_________________

المحل: في المدينة الجديدة علي منجلي ،الوحدة الجوارية 16
Google maps : IMG-TECH 
البيع بالضمان 🥰
التوصيل متوفر 58 ولاية والدفع عند الاستلام 
للطلب او مزيد من المعلومات تواصلوا معنا على الخاص او الهاتف: ",69900.0,2024-08-18T21:48:19.000Z,El khroub,Integrée + Dédiée,Bon état,INTEL,I5 1135g7,8 GO,,Iris xe,256GO,15.6,SSD,8,256,0
,ASUS TUF Gaming A15 - Promotion,"🔥ASUS TUF Gaming A15 - Promotion🔥  

✔️Cpu : Processeur AMD Ryzen 7 7435HS (16 Threads 4.50 GHz)
✔️Ram :8 GB DDR5 4800GHz (Tu peux augmenter la RAM jusqu'a 64 GB)
✔️CARTE graphique: Geforce RTX 3050
✔️Storage : 512 GB SSD Nvme 
✔️ECRAN: IPS 15.6"" 144HRZ (1920x1200) 
✔️AVEC : CLAVIER RGB 
✔️ETAT : Neuf Sous emballage
✔️Produit de l'États-Unis 📦
✔️Magasin : ABComputer Bab Ezzouar enface USTHB

- - - - - - - - - - - - - - - - - - - - - -
✅ MOBILE 📱 ⓪⑥⑤⑨⑦⑥⑧⑨⑥⑧
✅ Whatsapp 📱 ⓪⑥⑤⑨⑦⑥⑧⑨⑥⑧
✅ LIVRAISON Disponible SUR 58 WILAYAS
✅ Adresse du Magasin 🏪 : ABComputer Bab Ezzouar enface USTHB
✅ Abonner sur notre page facebbook pour les des derniers arrivage et les meilleurs offres 👇👇👇
📣 Page Facebook: ULTRAPC DZ 

Tags: asus, tuf, rog, strix, zephyrus, dell,  alienware, , razer, blade, hp, omen, acer, nitro, triton, helios, predator, lenovo, legion, msi, laptop, gaming, rtx 3080, rtx3070, rtx3060, rtx4070, rtx 4060",179900.0,2025-08-03T06:55:54.000Z,Bab ezzouar,Dédiée,Neuf jamais utilisé,ASUS,AMD Ryzen 7 7435HS,8 GO,Geforce RTX 3050,,512GO,15.0,SSD,8,512,0
