reference,title,description,price_preview,created_at,city,spec_Carte graphique,spec_Etat,spec_Marque,spec_Processeur,spec_RAM,spec_Reférence carte graphique dédiée,spec_Reférence carte graphique integrée,spec_Taille du disque,spec_Taille écran,spec_Type disque
A517-58GM-58DM,ACER ASPIRE 5 17,"Ordinateur utilisé pour quelque rares occasions, dernier modèle aspire écran 17"" 1080
Connexion par empreinte digitale et clavier rétro éclairé ",1,2024-12-18T15:41:41.000Z,Annaba,Integrée + Dédiée,Bon état,Intel,I5-1335U,16 GO,Nvidia RTX 2050,Intel IRIS XE,512GO,"17.3"" ",SSD
7430,"DELL LATITUDE 7430 Carbon Intel Core i7-1270P 18 Mo à 4,80 GHz 32GB 1TB SSD 14 FULL HD TACTILE ",Reconnaissance Facial Lecteur D’empreintes Digitale ,135000,2024-10-16T13:32:04.000Z,Bab ezzouar,Intégrée,Etat neuf,DELL,"Intel®️ Core™️ i7-1270P 12-Cœurs 16-Threads cache 18 Mo, jusqu’à 4,80 GHz",32 GO,,Graphiques Intel®️ Iris®️ Xe éligibles,1TBGO,"14"" ",SSD
,MICROSOFT SURFACE LAPTOP STUDIO 2 2024 /I7-13700H 5GHZ/RAM 16GB/512GB SSD/RTX 4050 6GB TACTILE,"🔴MICROSOFT SURFACE LAPTOP STUDIO 2 2024 
🏁🔥اخر اصدارت الشركة العالمية MICROSOFT منتج يتوفر على جميع اللميزات جهاز طال انتظارو في جميع انحاء العالم 
لابتوب بشاشة متحركة يناسب المصممين والرسامين المحترفين يعطي شاشة رهيبة وصوتيات لاتصدق 
اداء عالي جداااا مع دقة كبيرة في تصنيع 
🔴 Description
 🔴 intel i7-13700H  5GHZ
🔴RAM 16GB DDR5  6400MHZ
🔴DISK 512GB SSD NVEM GEN5
🔴 ECRAN 14.4 pouce 3k  120hz TACTILE 🤩🤩
🔴 carte graphique 
⏩INTEL IRIS XE GRAPHIQUE 4gb
- Intel AI Boost pour les traitements d'intelligence Artificielle 🔥 
⏩ NVIDIA GEFORCE RTX 4050 6GB UP 20GB
ولمزيد من المعلومات يوجد  فديو تفصيلي للمنتج من MICROSOFT
  Livraison 58 wilaya
 
 البيع في المحل 
  Microsoft pro babzouar
🔴 Adresse du Magasin 🏪 : Bab Ezzouar enface USTHB
Microsoft pro
P58P+RQ9, Bab Ezzouar


رابط صفحتنا على الأنستغرام 
/...
——————————————-
#laptops #pc #laptopgaming #pcgaming #algeria",289000,2024-12-09T08:19:36.000Z,Bab ezzouar,Integrée + Dédiée,Etat neuf,,intel i7-13700H  5GHZ,16 GO,INTEL IRIS XE GRAPHIQUE 4gb+NPO pour les traitements d'intelligence Artificielle,NVIDIA GEFORCE RTX 4050 6GB UP 20GB,512GO,"14"" ",SSD
,LAP  TOP   TOSHIBA,"Processeur
Intel® CORE TM® I3 T4005 1.7 GHz
Description
PC Portable TOSHIBA Toshiba Satellite C660 - Intel® P I3 T4005 1.7 GHz -(15.6"") 1366 x 768 pixels LED backlight 16:9 - 3 GB DDR3-SDRAM 800 MHz : 1 x 1 + 1 x 2 GB - 320 GB HDD - DVD-RW -  - Ethernet LAN - Vga Port - 1 h batterie - Windows 7 64 bits
",20000,2025-02-16T20:01:51.000Z,Bouinan,Intégrée,Bon état,TOSHIBA,,8 GO,,,500 GGO,"15"" ",SSD
MACBOOK PRO 16 INCH M4 MAX   A3186,MACBOOK PRO 16 INCH M4 MAX 14 CPU-32 GPU / RAM 36GB / STOCKAGE 1TB SSD / SPACE BLACK SOUS EMBALLAGE,"✅✅✅ MACBOOK PRO 16 INCH M4 MAX / 36GB / 1TB SSD/SPACE BLACK / NEUF SOUS EMBALLAGE ✅MODEL A3186

✅M4 MAX ship with CPU 14C / GPU 32C
✅ RAM 36GB
✅STOACKAGE 1TB
✅ ECRAN LEQUID RETINA XDR DISPLAY 16.2"" PROMOTION
✅COULEUR SPACE BLACK
✅NEUF SOUS EMBALLAGE

Produits garantis

☎️ Téléphone :

A (disponible de 9h à 19h ou en mp sur whatsapp ou
viber)



🚚 Livraison disponible,58 WILAYA
payement a la livraison.
Possibilité de facturation
Modalité de payement par carte ( CIB, VISA ( Paysera,Wise ,Possibilité de Versement CCP Bancaire)

📍MAPS: PC PRO DZ",1,2025-08-11T14:23:02.000Z,Bab ezzouar,,Neuf jamais utilisé,APPLE,M4 MAX,,,,1000GO,"16"" ",SSD
 Pavilion Gaming,"HP Pavilion Gaming Ryzen 5 5600H 16G 512 SSD Nvidia RTX 3050 4G 15.6"" Full HD","HP Pavilion Gaming Ryzen 5 5600H 16G 512 SSD Nvidia RTX 3050 4G 15.6"" Full HD

🔷 Produit : Ordinateur Portable
🔷 Marque : HP
🔷 Modèle : Pavilion Gaming

✔️ Processeur : AMD® Ryzen™ 5 5600H 3.0Ghz
✔️ Mémoire vive : 16G DDR4
✔️ Disque Dur : 512 SSD 
✔️ Ecran : 15.6"" Pouce Full HD 1920X1080
✔️ Carte Graphique Intégrée : AMD Radeon Graphics
✔️ Carte Graphique Dédiée : Nvidia RTX 3050 4G 
✔️ Interface : 1 Type C | 2 USB 3.0 | HDMI | RJ45 | Lecteur SD
✔️ Châssis Métallique
✔️ Clavier AZERTY Lumineux
✔️ Wifi | Bluetooth | Webcam
✔️ Batterie Excellente | Chargeur Original
✔️ System d'exploitation : Windows 10 Pro Original
✔️ Possibilité Augmentation Du Configuration du Ram & Disque dur
✔️ Possibilité De Facturation Pour Les entreprise

💷 Prix : 

🚚 livraison à Domicile 58 Wilaya Gratuite 
💰 Paiement à La Livraison
📋 Possibilité De Facturation
🛠️ Garantie 3 Mois + Service Après Vente
🏪 Localisation : EPLF - Bab Ezzouar - Alger
📍 https://goo.gl/maps/mH8GAep4cimrdnYu6
",,2023-11-25T08:54:48.000Z,Bab ezzouar,Integrée + Dédiée,Bon état,HP,AMD® Ryzen™ 5 5600H 3.0Ghz,16 GO,Nvidia RTX 3050 4G,AMD Radeon Graphics,512GO,"15"" ",SSD
,Tablette tactile ,"Tablette tactile 10""1,2 en 1 neuve jamais utilisée.Clavier français Bluetooth , emplacement carte SIM, souris sans fil, chargeur,stylet, écouteurs, pochette de protection.
Prix 29500",29.5,2025-01-23T08:48:07.000Z,Bab ezzouar,,Neuf jamais utilisé,,,,,,2GO,"10"" ",
SAMSUNG GALAXY Book2 Business 14 POUCES FHD | INTEL 12EME GEN CORE i5 1240P @1.70GHz | 8GB RAM | 256GB SSD | INTEL IRIS Xe GRAPHICS,SAMSUNG GALAXY Book2 Business | INTEL CORE i5 1240P | 8GB RAM | 256GB SSD | INTEL IRIS Xe GRAPHICS,"SAMSUNG GALAXY Book2 Business 14 POUCES FHD | INTEL 12EME GEN CORE i5 1240P @1.70GHz | 8GB RAM | 256GB SSD | INTEL UHD GRAPHICS

➡️ ETAT 10/10 ➡️ FOURNIE AVEC CHARGEUR D'ORIGINE➡️
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
⏬
‎✔️ التوصيل لكل ولايات الوطن ✔️
‎⬅️ الدفع عند الإستلام ⬅️
‎✔️مع امكانية الدفع عن طريق بطاقة بايسرا ✔️

⬅️
للطاب أو الإستفسار يرجى الإتصال بنا في الهاتف أو على واتساب في
☎️ O6 73 59 49 24 ☎️ : الرقم التالي
⬅️
➡️ disponible aussi sur Viber ou WhatsApp ☎️ O7 76 09 75 07 ☎️ ⬅️
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

➡️ Livraison 58 wilaya ➡️
➡️ Payement à la collecte ➡️
☎️ Whatsapp :☎️ O7 76 09 75 07 ☎️ ☎️ WhatsApp :☎️ O6 73 59 49 24 ☎️
- - - - - - - - - - - - - - - - - - - - - -
➡️ lieu Mostaganem centre Ville. Livraison 48 Wilaya ➡️➡️
✅✅✅✅",82000,2025-08-08T11:32:03.000Z,Mostaganem,Intégrée,Etat neuf,SAMSUNG,INTEL 12EME GEN CORE i5 1240P @1.70GHz,8 GO,,INTEL UHD GRAPHICS,256GO,"14"" ",SSD
,MSI CREATOR Z16 HIROSHI F A11UE I7 11800H 16GO 1TO SSD NVIDIA RTX3060 6GO GDDR6,"MSI CREATOR Z16 HIROSHI 
F A11UE
2022 
NEUF JAMAIS UTILISEE 
ECRAN 16’’ 3K LED TRUE COLOR

CPU INTEL CORE I7 11800H 2.3GHZ 
BOOST 5.1GHZ 16THREADS 24MO CACHE
 RAM 16GO DDR4X 3200MHZ
DISQUE 1000GO 1TO SSD 
WIFI/BLUETOOTH/WEB CAM
USB 3.1 
GRAPHIC 
INTEL UHD GRAPHIC + 
NVIDIA GEFORCE RTX3060 6GO 
GDDR6 BOOST 14GO 
BANDE PASSANTE 192GO/S
ECRAN 16” 3K LED
ANTIREFLET IPS TRUE COLOR
CLAVIER RETRO ECLAIRE 
WINDOWS 10 ORIGINALE

- - - - - - - - - - - - - - - - - - - - - -
MOBILE 📱 COMMERCIAL ZOHIR :
MOBILE 📱 COMMERCIAL RABAH :
TÉLÉPHONE ☎️ FAX :
INSTAGRAM : @protechassiba
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS
GARANTIE DE 10 MOIS + SERVICE APRES VENTE
#PROTECHASSIBA THE BEST LAPTOPS",290000,2022-12-05T18:26:39.000Z,Alger centre,,Neuf jamais utilisé,,,,,,,,
DELL LATITUDE 7340,"DELL LATITUDE 7340 I5 13th 16GB 256GB SSD FHD 13""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : DELL
• MODELE : LATITUDE 7340
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : Intel® Core™ i5-1345U ""13th Génération"" 12M Cache, up to 4.70 GHz, with IPU
• MEMOIRE : 16 G
• STOCKAGE : 256 GB SSD
• ECRAN : 13.3"" FULL HD (1920 X 1080)
• CARTE GRAPHIQUE INTIGREE : Intel® Iris® Xe Graphics
• CLAVIER LUMINEUX
• LECTEUR EMPREINTE
• FACE ID ‘’RECONAISSANCE FACIALE’’
• INTERFACES : USB 3.0 / USB TYPE C / HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS ORIGINAL


PRIX : 98 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
--------------------------------
•Contact : -
• Email : 
• Page Facebook : 
• SITE Web : 
• ",98000,2024-10-02T14:14:05.000Z,Bab ezzouar,Intégrée,Bon état,DELL,Intel® CORE I5 1345U,16 GO,,Intel® Iris® Xe Graphics,256GO,"13"" ",SSD
,Pc portable DELL ,"بيسي خاص للدراسة الجامعيين و طلاب الثانوية 
سلعة أوروبية DELL"" (caba)"" 🇨🇵🇨🇵
- Ecran 15.4°
- Processeur:  Intel core 2 duo 
- Ram 3g 
- Disque dur  160g 
- wifi
- Batterie 1h30 + chargeur 
- Windows 7",16000,2025-06-14T11:49:54.000Z,Constantine,,Bon état,DELL,,3 GO,,,160GO,"15.4"" ",HDD
,PC Pro ULTRA SLIM Fujitsu LIFEBOOK U727 ,"✔️PC Pro ULTRA SLIM tres fin & Léger 
✔️MARQUE : Fujitsu LIFEBOOK U727 ( poids = 920 grammes )
✔️ETAT : EN TRÈS BON ÉTAT 10/10
✔️GARANTIE : 3 Mois ⏳
----------------------------------------------------------
💥 PROCESSEUR Intel Core i5 7200U / 2.5 GHz
💥RAM 8GO DDR4
💥 DISQUE DUR SSD 256GO NVme M.2
💥CARTE HD Graphics 620
💥CLAVIER LUMINEUX
💥Ecran 13.3 pouce FHD 1920*1080
💥 Battery EXCELLENT
----------------------------------------------------------
✔️ PRIX : 42.000 Da
✔️CONTACT : 📞 0799383303 📞
✔️MAPS : DEY Computer 📍
✔️ Livraison : 48 wilayas
",42000,2024-10-15T19:52:34.000Z,Hussein dey,Intégrée,Etat neuf,,PROCESSEUR Intel Core i5 7200U / 2.5 GHz,8 GO,,Intel 620 HD,256GO,"13"" ",SSD
DELL LATITUDE 5330 ,"DELL LATITUDE 5330 I5 12th 16 GB 256 GB SSD FHD 13""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : DELL
• MODELE : LATITUDE 5330
-------------------------------------
CARACTERISTIQUE :
Qwq• MEMOIRE : 16 GB
• STOCKAGE : 256 GB SSD
• ECRAN : 13"" FULL HD (1920 X 1080)
• CARTE GRAPHIQUE INTIGREE : Intel® Iris® Xe Graphique
• CLAVIER LUMINEUX
• INTERFACES : 2 X USB 3.0 / 2 X USB TYPE C / 1 X HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS ORIGINAL


PRIX : 84 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
---------------------------------
•Contact : 0559425599
• Email : contact@tretec-dz.com
• Page Facebook : www.facebook.com/tretec.dz
• SITE Web : www.tretec-dz.com
• https://maps.app.goo.gl/YtG9YiR813uLCYCbA",84000,2025-08-06T09:24:42.000Z,Bab ezzouar,Intégrée,Bon état,DELL,I5 1245U,16 GO,,INTEL IRIS XE GRAPHICS,256GO,"13"" ",SSD
,حاسوب محمول ,"Dell latitude 7320 carbon 
i5 11éme Vpro 1145G7
16 Gb ram
256 ssd nvme 
carte graphique intel iris xe 
imprint
face id
batterie 🔋+4h
L'état 10/10
0554671875.  /.  0784492095",65000,2025-05-12T22:22:49.000Z,Skikda,Intégrée,Etat neuf,Dell,i5 11éme Vpro,16 GO,,intel iris xe,256GO,"13.3"" ",SSD
Ryzen 7,Pc portable ,"Très bonne état. , Venu de France caba",175000,2025-07-19T23:03:17.000Z,Tlemcen,,Bon état,HP omen,Ryzen 7,512 GO,,,512GO,,
,DELL LATITUDE 5430  i5-1245U 16GB 256GB SSD,"💻DEL LATITUDE 5430💻

✔️Cpu : Processeur INTEL i5-1245U 4,4GHz
✔️Ram : 16GB DDR4 3200MHz
✔️CARTE graphique : INTEL IRIS Xe GRAPHICS
✔️Storage: 256GB SSD NVME
✔️ECRAN: Ecran 14,1” FHD
✔️CHARGEUR ORIGINAL
✔️ETAT : 10/10

💸PRIX : 87 500Da💸

📦Livraison à domicile disponible 58 wilaya 📦
💪 Paiement à la Livraison
Localisation: bab ezzouar enface USTHB
☎️0552665100☎️
📌 Instagram: : V2tech.off
📌 Facebook : V2 Tech
📌 Maps 📍: V2 Tech
Soyez les bienvenus ⚡️⁩⁩⁩⁩⁩",87500,2025-05-24T09:06:30.000Z,Bab ezzouar,Intégrée,Etat neuf,,,16 GO,,,256GO,"14"" ",SSD
,"DELL LATITUDE 3540 14"" i5 1335U 16GB/512GB","💻DELL LATITUDE 3540 14"" i5 1335U 16GB/512GB
✅️Produit Neuf 
❇️Processeur Intel Core i5-1335U (2 P-Cores 4.6 GHz Turbo + 8 Efficient-Cores 3.4 GHz Turbo - 12 Threads - Cache 12 Mo)
💾 Ram: 16GO DDR4 3200 MHZ 
❇️ Disque : 512GO SSD Nvme
❇️ Graphique : Intel Iris Xe Graphics
❇️ Écran : 15.6"" FHD IPS LED
⚡️Wi-Fi 6E+ Bluetooth 5.3
❇️ Clavier :AZERTY rétro éclaire 
😍 Poids : 1.4 kg
❇️ Système  Windows 11 64 bit
✈️ Livraison Gratuit  58 wilaya",103500,2025-04-23T12:18:05.000Z,Chlef,,Etat neuf,,,,,,,,
T14 Gen 3,"VENDU - LENOVO THINKPAD T14 Gen 3, i7-12Th 1255U, 16GB, 512GB SSD","- Processeur : i7-12Th 1255U @ 1.70GHz up to 4.70GHz
- Ram : 16GB DDR4 3200MHz 
- Stockage : 512GB SSD nVme 
- Carte Graphique intégré : intel UHD
- Ecran : 14"" FHD ( 1920 x 1080 ) 
- Lecteur d'empreintes digitales 
- Clavier Rétro éclairée 
- Sound By Dolby 
- Ports : 2 x USB 3.2 GEN 1/ USB C 3.2 / ThunderBolt 4/ HDMI/  RJ45
------------------------------------------------------------------
🛍️Magasin  Ouvert 7/7  de 9h à 23h
📍Adresse : Rue Ali Sahli , Hussein Dey
📲 : / 
📩 
📦 Livraison 58 Wilaya GRATUITE sur ALGER
💵 Payement a la livraison / CCP/ PAYSERA
---------------------------------------------------------------------
 
Fb : Azur laptop
iNsta : azur_laptop
---------------------------------------------------------------------",,2024-10-01T13:42:18.000Z,Hussein dey,Intégrée,Etat neuf,LENOVO,i7-1255U,16 GO,,intel UHD,512GO,"14"" ",SSD
,Pc HP Chromebook 14,"Pc hp chromebook 14
Écran 14"" pouces
Processeur celeron
4go ram
16gb ssd nvme m2
Fih Chrome os flex machi windows
Trés bonne batterie 6-8h
Fih 2 khtota sghar f l'ecran

Livraison Disponible 🚚

Hp, dell, asus, lenovo, Toshiba, pc portable, micro portable, حاسوب",12000,2025-04-21T10:03:53.000Z,Oran,Intégrée,Bon état,Hp,Intel Celeron,4 GO,,,16GO,"14"" ",SSD
HP 15-DW3019NK,"HP 15 Intel® Core™ i3-1115G4 6 Mo de cache, jusqu'à 4,10 GHz, avec IPU 4GB 256GB SSD 15.6"" win11",,90000,2022-09-13T10:53:24.000Z,Bab ezzouar,Intégrée,Neuf jamais utilisé,HP 15,Intel® Core™ i3-1115G4,4 GO,,Intel® UHD Graphics,256GO,"15.6"" ",SSD
Dell xps 13 ,Dell xps 13,"🔸Salam merhba chez arriflex 🙏✅
Disponible Dell XPS 13 ✅
🔸produit 🇪🇺✅
🔸I7-7500U ✅
🔸16-512 ✅
✨Avec garantie bien sur ✅
Merhba 😎✅",65000,2024-06-08T10:17:27.000Z,Mohammadia,,,,,,,,,,
,HP VICTUS GAMING 15 i5-12450H 512GB 8GB RTX 3050 4GB,"Produit : Laptop
Marque : HP
Modèle : HP VICTUS GAMING LAPTOP 15-fa0033DX
___________________________________________________
Processeur : intel i5-12450H
ecran : 15.6 pouce FHD IPS LED Display 144 Hz
Catre Graphique : NVIDIA® GeForce RTX™ 3050 4GB
Mémoire vive : 8GB
Stockage : 512GB SSD
Clavier qwerty lumineux
Systeme Windows 11
produit original neuf jamais utilise sous emballage avec grantie bien sur
______________________________________________________
Vente dans un magasin avec garantie
livraison disponible à Domicile 58 Wilaya
Paiement à La Livraison
adresse : rue mellah ahmed boufarik blida",159000,2025-08-10T12:52:28.000Z,Boufarik,Integrée + Dédiée,Neuf jamais utilisé,HP,intel i5-12450H,8 GO,NVIDIA® GeForce RTX™ 3050 4GB,NVIDIA® GeForce RTX™ 3050 4GB,512GO,"15"" ",SSD
,HP ELITEBOOK 840 G6 i5 8365U 8G 256SSD,"NOUS SOMMES GENERAL COMPUTER BUSINESS.

Vente et services informatiques, Consommable d'impression, solution de stockage et Reseaux....

Les prix sont négociables selon la quantité

L'adresse de magasin sur google maps:
https://goo.gl/maps/fAicNHV14i42

NOUS SOMMES A VOTRE SERVICE.
•Une large gamme destiné au Entreprises, Revendeur et Particulier.
•OUVERTE TOUTE LA SEMAINE DU 8H00 A 18H00 SAUF LE VENDREDI.
•MERCI DE NOUS APPELEZ PENDANT LES HEURES DE TRAVAIL",82000,2020-07-29T08:24:02.000Z,Bab ezzouar,Intégrée,Bon état,HP,Intel Core i5-8365U @ 1.60GHz,8 GO,,Intel UHD 620,256GO,"14"" ",SSD
ASUS ZENBOOK 14 OLED 2023,ASUS ZENBOOK 14 OLED 2023/INTEL I9-13900H/RAM 16 GO DDR5/1024 gb ssd/14.5 pouce OLED  120HZ,"#لسنا_الوحيدين_لكننا_الافضل 😍
كما وعدناكم حنا نجيبولكم غير المركة ولباقي خاطيني🤩
 🔴 اقرا خويا وستمتع 
 حاسوب من اروع الحواسيب المحمولة من جميع النواحي من سلسلة مشهورة جداا asus zenbook
مواصفات عالمية 
معالج من الجيل الثالث عشر 
وزن خفيف جدااا
شاشة عالية الدقة oled 
بطارية تصل حتا 13 عشر ساعة 😍😍
نقدملكم⏩⏩
🛑 ASUS ZENBOOK 14 OLED 2023 🤩
 🔴 INTEL I9-13900H  5.5ghz
 🔴 RAM 16 GO DDR5  5600MHZ
 🔴DISK 1024 gb ssd nvum
 🔴 carte graphique
 ⏩ intel IRIS XE GRAPHIQUE  4GB
 🔴ecran 14.5 pouce OLED  120HZ😍😍
 🔴 clavier  lumineux
 🔴 chargeur original
 🔴 windows 11 original
 وبزاااف صوالح ...
  Livraison 58 wilaya
 
 البيع في المحل 
  Microsoft pro babzouar
🔴 Adresse du Magasin 🏪 : Bab Ezzouar enface USTHB
Microsoft pro
P58P+RQ9, Bab Ezzouar


رابط صفحتنا على الأنستغرام 

",189000,2025-07-04T14:48:15.000Z,Bab ezzouar,Intégrée,Etat neuf,ASUS ZENBOOK 14 OLED 2023,INTEL I9-13900H  5.5ghz,16 GO,,intel IRIS XE GRAPHIQUE  4GB,1024GO,"14.5"" ",SSD
,pc portable DELL,salam je mets en vente un pc portable dell I5 11th disque dur 256 ssd ram 16giga écran full hd clavier retro eclairé  + chargeur oroginal + pochette ,120000,2022-06-26T17:52:52.000Z,Sidi bel abbes,Intégrée,Etat neuf,dell,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz   1.50 GHz,16 GO,,intel iris xe graphique,256GO,,SSD
HP ELITEBOOK 855 G7,"HP ELITEBOOK 855 G7 RYZEN 5 PRO 4650U 16GB 256GB SSD 15,6 FHD AZERTY LUMINEUX ","Chez magasin BR INFORMATIQUE 

✨✨HP ELITEBOOK 855 G7✨✨
OCCASION COMME NEUF | مستعمل في حالة الجديد 

Configuration : 

• Processeur : AMD RYZEN 5  PRO 4650U (10TH) 
6 COEURS 12 THREADS 8 Mo de cache Jusqu`à 4GHz
• RAM : 16GB DDR4 3200 MHZ
• Stockage : 256 GB SSD NVMe
• Ecran : 15,6 POUCES FHD IPS 
• Carte Graphique : AMD RADEON GRAPHICS 
• Clavier : AZERTY LUMINEUX 
• Interfaces : USB 3.0 / HDMI / TYPE C / RJ45
• Wi-Fi 6+ Bluetooth + webcam 
• System d’exploitation : Windows 10 Original
• ETAT : 10/10
• BATTERIE : +5H
• CHARGEUR HP ORIGINAL 65W

✨PRIX :  80  000 DA ✨

‎VENTE AVEC CERTIFICAT DE GARANTIE 03 MOIS 
Possibilité de facturation
Livraison 58 wilaya avec paiement à la livraison 📦 🚚
‎توصيل 58 ولاية مع الدفع عند الاستلام 🚚
Heure de travail : 9H00 —> 19H00

Tel :  /  /
Maps : br informatique bab ezzouar
Email : ",80000,2025-07-14T12:32:15.000Z,Bab ezzouar,Intégrée,Etat neuf,AMD,AMD RYZEN 5 PRO 4650U,16 GO,,AMD RADEON GRAPHICS,256GO,"15.6"" ",SSD
,Lenovo Thinkpad L13 YOGA i5 10310U vPro 16GB DDR4 512Go SSD 13.3 FHD Intel UHD Graphics,"Lenovo Thinkpad L13 YOGA 

✅ CPU: Processeur i5-10310U vPro (4 cœurs, 8 threads, 6 Mo cache, 2.2GHz, 4.4GHz turbo)
✅ RAM: 16 Go DDR4 2666MHz 
✅ Stockage: 512 Go SSD PCIe
✅ GPU: Intel UHD Graphics
✅ Écran: 13.3"" FHD (1920 x 1080) IPS, Anti-reflet, anti-traces, tactile, 300 nits
✅ Clavier rétroéclairé
✅ Lecteur d’empreintes digitales
✅ BON ETAT

***Produits garantis

***Disponible de 9h à 19h ou en mp sur whatsapp ou viber

*** email: 

***Livraison disponible,58 WILAYA
***Payement a la livraison.
***Possibilité de facturation
***Modalité de payement par carte ( CIB, VISA ( Paysera Wise) )
***Possibilité de Versement (CP BaridiMob Bancaire)

***MAPS: PC PRO DZ
***ADRESSE : cité 2068 Logements Bt 52/A local No10,Bab Ezzouar Bebezzouar, 16311
",1,2025-01-05T09:54:54.000Z,Bab ezzouar,Intégrée,Bon état,LENOVO,"rocesseur i5 10310U vPro (4 cœurs, 8 threads, 6 Mo cache, 2.2GHz, 4.4GHz turbo)",16 GO,,Intel UHD Graphics,512GO,"13"" ",SSD
DELL ALIENWARE M16 R1 I9 13TH,ALIENWARE M16 R1/INTEL I9-13900HX/ 32GB DDR5 /DISK 1TB SSD/NVIDIA RTX 4090 16GB/16 POUCE 2.5K 240HZ,"#لسنا_الوحيدين_لكننا_الافضل
🛑هذا سبيسيال غيرر لزبائن تاوعنا 🤩🤩مشي لكامل ناس 🥰🥰 
⛔⛔افاارررررر متتراطاش  
⏩Le plus puissant au monde avec des caractéristiques très particulières 🥰🥰
🛑 DELL ALIENWARE M16 R1 I9 13TH 😍
 🔴  INTEL I9-13900HX   24C 32THR  5.5GHhz
🔴 RAM 64GB DDR5 5600MHZ
🔴DISK 1TB SSD  NVME GEN 4 
🔴 carte graphique
 ⏩ intel IRS XE  graphique 4gb
⏩ INVIDIA GEFORCE RTX 4090 16GB 175WTT
 🔴ECRAN  16.1 POUCE 2.5K QHD+ 240Hz 500 NITS, sRGB 100 % (en fonction du GPU)
🔴 clavier  lumineux   RGB
🔴 windows 11 original
🔥🏁PRIX 495000DA
⏩⏩ 0541729509
  Livraison 58 wilaya
 0541729509
 البيع في المحل 
  Microsoft pro babzouar
🔴 Adresse du Magasin 🏪 : Bab Ezzouar enface USTHB
Microsoft pro
, Bab Ezzouar
0541729509
رابط صفحتنا على الأنستغرام 
https://www.instagram.com/p/CXso1pvq5XV/...
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS",499000,2025-05-08T08:12:56.000Z,Bab ezzouar,Integrée + Dédiée,Bon état,,INTEL I9-13900HX   24C 32THR  5.5GHhz,32 GO,NVIDIA GEFORCE RTX 4090 16GB 175WTT,intel IRS XE  graphique 4gb,1024GO,"16"" ",SSD
 16-wf0032TX,HP OMEN Gaming,"HP OMEN Gaming 16-wf0032TX
Cpu : I9-13900HX
Ram : 16GB DDR5
Gpu : RTX 4060 8Go
Disque : 1TB [SSD]
Écran : 16’ 2K (2560×1440) 
Batterie : 91% (+2H)🔋
État : Neuf

Prix : 271200DA",271200,2025-06-26T14:43:24.000Z,Chlef,Integrée + Dédiée,Etat neuf,Hp omen,I9 13900hx,16 GO,Rtx 4060 8go,Intel uhd,1000GO,"16"" ",SSD
VOSTRO 3520,LAPTOP DELL I5 - 12EME - 16 GB -512 SSD - ECRAN 15.6 FHD,,115000,2025-07-30T09:25:47.000Z,Mohammadia,,Neuf jamais utilisé,INTEL,I5 1235U,16 GO,,,512GO,"15"" ",SSD
,Macbook air ,"Salam
Kayan pc macbook air fin 2013
4g ram
256 ssd
13.5 puce
Li intéressé y3ayat",1,2021-09-21T13:18:40.000Z,Bab ezzouar,,Bon état,Macbook air,,4 GO,,,256GO,"13"" - 14""",SSD
